Division,PR,CollegePR
3,5.98805,5.94
2,6.5278,7.46
1,6.8707,6.95
3,6.06425,6.43
3,6.3246,6.43
3,5.4864,5.44
1,6.9342,6.96
3,6.02615,6.19
1,5.9817,6.47
1,6.22935,6.59
3,4.953,6.01
3,5.6896,6.02
2,6.1849,6.34
1,5.969,6.32
1,6.096,6.32
2,5.207,5.86
1,6.41985,6.71
1,6.9596,7.47
3,5.461,5.96
3,5.8801,5.76
3,6.1087,6.93
1,5.2578,6.17
1,6.73735,6.67
1,6.985,6.67
1,6.39445,6.24
3,6.3754,6.32
1,6.41985,7.42
1,5.31495,6.7
1,6.9596,7.1
2,6.39445,6.16
2,5.9944,6.16
2,5.4737,6.16
1,5.7912,6.75
3,6.2103,6.55
3,5.3975,5.12
3,5.8674,6.4
2,6.5405,6.39
3,5.3848,5.8
2,5.8166,6.1
3,7.0993,7.13
1,6.17855,6.59
1,5.9563,6.59
3,6.0452,6.21
2,5.02285,5.87
3,5.53085,5.92
3,5.32765,5.71
3,5.7404,6.17
2,5.0292,5.96
1,6.97865,7
1,6.7818,6.75
2,5.588,5.87
3,6.0325,5.94
3,6.33095,6.23
3,6.5151,6.5
2,5.46735,7.2
2,6.34365,6.49
1,5.6642,6.55
3,5.61975,6.13
1,6.6421,6.67
1,6.5405,6.75
3,5.0038,5.13
2,6.29285,6.19
2,5.81025,6.48
1,5.9436,5.92
2,5.8293,6.71
2,6.8834,6.79
2,6.0071,6.97
1,6.5278,7.05
1,6.9723,6.88
1,5.7404,5.82
1,7.1501,7.5
3,5.9309,5.51
1,6.8961,7.29
2,5.49275,6
3,6.2738,6.85
1,6.2484,6.99
1,6.9088,6.33
1,6.2611,6.6
2,6.5024,6.17
3,6.22935,6.23
1,6.22935,6.74
1,5.1181,5.91
2,5.7404,5.86
3,6.4516,6.97
1,7.0866,6.71
1,6.5786,6.7
1,5.14985,5.7
1,6.8453,6.54
1,5.2324,6.54
3,6.0706,6.6
1,6.2992,6.76
1,6.62305,7.56
3,6.50875,6.64
1,6.7691,7.55
3,5.96265,5.86
3,6.28015,6.37
1,5.6896,5.69
1,7.02945,7.66
2,6.5913,7.08
3,6.2357,5.69
2,6.78815,7.36
3,6.24205,6.51
1,6.5278,6.78
1,5.8928,6.03
