Division,PR,CollegePR
1,4.940300000000001,4.95
2,5.1562,5.21
3,5.283200000000001,5.18
3,4.90855,4.81
2,4.8387,5.26
1,5.683250000000001,5.44
1,5.2197000000000005,5.35
2,4.4704,4.91
2,4.90855,5.16
3,4.4958,5.12
2,4.8768,4.94
1,5.63245,5.6
2,5.461,5.75
1,5.461,5.56
1,5.3340000000000005,4.87
2,4.8641,5.25
1,5.3721000000000005,6.3
3,4.47675,4.62
2,4.87045,5.12
1,4.4958,5.2
1,4.5339,4.69
1,4.8133,4.69
3,4.8514,4.92
3,4.5974,5.08
1,5.416550000000001,5.74
1,5.283200000000001,4.97
3,4.62915,4.91
1,5.0673,5.62
1,5.1181,4.97
3,4.3942,5.08
3,4.3053,4.93
1,5.5753,5.35
1,4.4958,4.59
1,5.70865,6.14
1,5.0419,5.0
2,4.318,4.25
1,5.4229,5.29
1,4.902200000000001,5.29
2,4.8895,5.17
3,4.1402,4.58
2,5.08,4.98
1,5.3721000000000005,5.16
3,4.50215,4.69
1,5.3848,5.69
3,5.016500000000001,4.92
2,3.924300000000001,4.55
1,4.8831500000000005,5.12
2,4.87045,5.01
1,5.638800000000001,5.64
1,5.1816,5.21
3,4.29895,4.18
3,4.55295,5.02
2,5.016500000000001,5.13
1,5.1054,5.33
3,4.19735,5.31
3,5.207000000000001,4.98
1,5.562600000000001,5.54
1,5.626100000000001,5.2
3,4.572,5.1
3,4.7371,4.63
2,5.340350000000001,5.61
1,4.3053,4.7
3,4.62915,4.72
1,5.759450000000001,5.1
2,4.4196,4.37
3,3.886200000000001,3.83
1,5.2324,5.32
1,5.5372,5.19
