Division,PR,CollegePR
1,272.17,233.03
2,272.19,253.41
1,272.27,241.26
2,272.32,241.65
3,272.36,239.24
2,272.37,260.07
2,272.4,240.04
1,272.41,245.68
2,272.43,241.27
2,272.48,240.15
1,272.5,243.86
3,272.53,243.28
3,272.6,256.05
1,272.61,244.62
3,272.64,256.93
2,272.65,234.34
1,272.68,244.22
1,272.68,238.44
3,272.8,240.1
3,272.8,309.83
3,316.52,309.83
1,272.85,249.38
2,272.9,239.57
1,272.9,244.39
1,272.91,243.74
1,272.92,247.93
3,272.95,247.87
1,272.96,258.34
1,273.01,242.55
2,273.13,240.47
1,273.16,239.69
3,273.21,255.8
1,273.24,261.15
2,273.24,250.49
1,273.25,237.76
1,273.29,240.16
1,273.31,237.35
1,273.31,250.71
3,273.32,264.42
3,282.38,264.42
1,273.32,248.65
3,273.4,244.53
1,273.42,250.06
2,273.59,235.3
2,296.69,235.3
1,273.6,241.2
1,273.65,256.14
1,273.67,251.71
3,273.69,257.84
1,273.71,261.05
3,273.79,234.01
2,273.8,248.12
1,273.81,234.3
2,273.81,253.4
2,273.86,234.42
3,273.91,241.49
1,273.99,241.03
3,273.99,254.13
2,274.09,258.88
1,274.13,245.72
2,274.14,260.55
1,274.23,251.45
1,274.25,238.42
1,274.29,249.2
3,274.33,239.82
3,303.92,239.82
3,313.49,239.82
3,274.38,240.74
3,274.42,254.58
2,274.44,231.82
1,274.5,250.18
1,274.52,234.65
1,274.52,230.01
2,274.52,245.06
1,274.55,281.61
1,274.67,242.4
3,274.76,250.14
1,274.79,253.97
1,274.8,239.13
3,274.86,237.91
2,274.88,256.59
1,274.89,237.69
1,274.95,247.42
1,274.95,256.33
1,275.1,230.71
3,275.14,260.25
1,275.15,269.71
2,275.16,259.62
1,275.25,254.35
3,275.26,246.38
1,275.27,243.44
1,279.51,243.44
3,275.29,250.01
2,275.3,263.41
3,275.31,262.1
3,275.32,256.83
1,275.4,252.28
3,275.44,236.33
1,275.47,249.49
2,275.55,253.97
1,275.68,232.27
2,275.74,248.05
1,275.76,239.74
1,275.77,230.61
1,275.79,251.72
1,275.86,250.36
1,275.87,257.19
1,275.89,253.23
3,275.92,246.98
3,275.92,250.54
2,275.99,244.55
1,276.01,239.19
3,276.02,281.56
3,276.04,239.2
2,276.06,246.06
2,276.12,260.54
3,276.14,248.34
3,276.23,237.77
3,276.31,245.66
1,276.32,240.32
3,276.33,252.78
3,276.36,293.74
3,276.38,255.64
2,276.39,245.62
3,276.4,236.63
2,276.43,236.2
3,276.44,249.09
3,276.49,248.19
1,276.52,243.86
3,276.58,257.11
3,276.59,257.25
3,276.6,244.42
1,276.63,254.92
3,276.73,252.04
2,276.74,246.53
1,276.74,230.13
3,276.77,260.77
1,276.93,236.45
1,276.98,269.71
3,277.02,245
2,277.16,247.51
3,277.29,265.05
2,277.31,249.54
3,277.31,281.5
2,277.4,249.41
3,277.47,249.31
2,277.5,236.76
1,277.51,248.42
1,277.51,237.27
1,277.61,261.29
3,277.67,259.06
2,277.7,244.1
3,277.7,244.03
3,277.83,249.7
1,277.9,237.88
1,289.64,237.88
3,277.98,255.17
3,278.03,270.92
1,278.05,238.02
3,278.08,251.65
3,278.1,261.07
1,278.11,238.94
1,278.2,263.99
2,278.23,250.48
3,278.26,251.94
1,278.28,239.59
3,278.32,249.11
1,278.38,248.58
3,278.51,241.93
2,278.6,236.11
1,278.62,249.39
3,278.62,244.54
2,278.79,254.22
3,278.85,253.66
1,278.86,251.51
3,278.86,250.89
3,278.89,259.54
1,278.9,250.48
2,278.92,237
1,278.95,231.89
2,278.97,263.89
1,278.97,268.54
2,278.98,242.7
3,278.98,253.07
2,279.04,224.83
3,279.07,256.62
2,279.09,256.1
3,279.09,253.15
3,279.11,253.43
1,279.12,243.27
3,279.15,241.49
3,279.19,260.46
3,279.19,258.27
2,279.2,253.56
1,279.24,235.3
2,279.25,246.31
1,279.33,245.86
3,279.34,261.14
1,279.39,243.74
3,279.41,253.97
2,279.41,253.36
3,279.42,255.43
3,279.43,243
2,279.48,244.59
1,279.51,235.06
1,295.25,235.06
2,279.51,247.48
3,279.53,244.14
2,279.54,266.11
3,279.55,245.45
3,279.59,249.46
1,279.64,255.88
3,279.68,257.22
1,279.7,248.57
3,279.7,249.03
1,279.77,237.31
3,279.79,253.39
3,279.8,242.24
2,279.85,258.11
2,279.87,239.74
3,279.92,255.88
3,280,244.2
3,280.01,260.83
1,280.06,271.27
1,280.08,243.48
1,280.08,254.33
3,280.11,239.57
2,280.12,223.51
1,280.2,232.37
2,280.24,284.61
1,280.32,234.64
2,280.34,253.06
1,280.41,260.35
2,280.43,256.86
1,280.49,249.81
1,280.5,252.19
1,308.68,252.19
3,280.51,255.69
2,280.53,248.72
2,280.55,253.86
2,280.57,262.21
2,280.6,240.7
1,280.62,241.74
2,280.69,298.4
3,280.7,255.72
1,280.75,241.48
3,280.79,264.78
3,280.79,275.84
2,280.83,251.38
2,287.41,251.38
1,280.83,245.55
2,280.85,253.94
3,280.86,298.35
3,310.48,298.35
2,280.94,266.94
2,280.97,236.61
3,281.08,262.08
1,281.09,241.97
2,281.09,236.69
2,281.1,265.92
2,281.12,270.03
2,281.13,251.01
1,281.15,263.54
2,281.16,246.35
2,281.18,269.87
2,281.21,249.2
3,281.22,262.76
3,281.25,246.05
2,281.33,249.6
2,281.36,241.65
1,281.41,245.91
1,281.42,241.35
2,281.43,245.32
3,281.45,281.2
2,281.52,253.85
3,281.53,256.23
3,281.56,243.73
2,281.62,254.05
1,281.64,262.46
3,281.68,256.51
2,281.71,254.69
2,281.73,247.84
3,281.74,315.32
3,307.14,315.32
3,281.81,250.24
3,281.9,256.43
2,282.07,255.54
3,282.08,247.31
3,282.11,249.97
3,282.11,249.1
1,282.14,245.4
3,282.21,241.31
3,282.22,238.36
2,282.26,238.55
1,282.26,247.73
3,282.37,242.95
3,282.38,242.92
1,282.4,242.37
2,282.51,256.78
2,282.54,262.92
2,282.56,260.18
2,282.6,250.07
1,282.62,244.34
3,282.65,236.39
3,282.65,257.49
3,282.66,253.6
1,282.67,253.04
3,282.71,253.24
2,282.82,258.73
3,282.85,256.26
1,282.87,239.03
3,282.88,264.3
1,282.89,252.05
3,282.89,272.48
3,282.9,241.99
1,282.91,252.44
3,282.99,274.85
1,283,255.61
3,283,251.36
3,283.04,256.08
1,283.04,275.33
2,283.05,239.21
1,283.13,252.99
2,283.3,266.02
2,283.43,257.43
3,283.5,250.13
3,283.53,263.46
3,283.55,254.27
3,283.56,241.79
1,283.6,242.35
3,283.65,251.72
2,283.67,268.93
3,283.69,251.95
2,283.75,245.8
2,283.77,240.65
3,283.81,239.99
3,283.81,260.97
3,283.84,238.21
2,283.89,241.12
3,283.89,260.75
2,283.97,252.49
2,284.04,264.9
3,284.13,266.73
2,284.14,263.51
3,284.2,261.89
1,284.26,244.28
1,306.05,244.28
1,284.3,245.87
2,284.45,251.3
3,284.48,279.63
3,284.49,260.16
3,285.31,260.16
2,284.52,266.62
1,284.54,253.93
3,284.57,244.27
3,284.65,264.5
3,284.67,256.08
3,284.74,251.39
3,284.84,256.36
2,284.88,242.09
